age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
30,technician,single,secondary,no,0,no,no,cellular,29,jan,624,2,-1,0,unknown,no
31,blue-collar,single,secondary,no,2194,no,no,cellular,13,may,275,2,357,1,other,no
43,management,married,tertiary,no,-127,no,no,cellular,6,aug,400,2,-1,0,unknown,no
35,blue-collar,married,primary,no,443,yes,no,cellular,17,apr,185,2,316,3,other,no
43,technician,married,secondary,no,90,yes,no,cellular,17,apr,54,2,-1,0,unknown,no
60,retired,married,secondary,no,2060,no,no,cellular,29,jun,135,4,95,4,failure,no
30,services,married,primary,no,997,yes,no,cellular,28,jul,76,3,-1,0,unknown,no
34,management,married,secondary,no,56,yes,no,cellular,20,nov,311,3,183,1,failure,no
30,technician,single,tertiary,no,0,no,yes,telephone,14,aug,226,3,-1,0,unknown,no
31,admin.,married,secondary,no,8784,yes,no,unknown,21,may,63,2,-1,0,unknown,no
27,admin.,single,secondary,no,827,yes,no,cellular,4,jun,73,1,107,1,failure,no
26,admin.,single,secondary,no,586,yes,yes,unknown,12,may,215,1,-1,0,unknown,no
32,entrepreneur,single,tertiary,no,890,yes,yes,cellular,28,aug,27,10,-1,0,unknown,no
48,management,married,tertiary,no,1147,no,no,cellular,5,aug,389,1,64,2,success,yes
39,blue-collar,single,secondary,no,29,yes,no,unknown,7,may,214,2,-1,0,unknown,no
35,management,divorced,tertiary,no,160,yes,no,unknown,4,jun,141,6,-1,0,unknown,no
34,services,married,secondary,no,135,yes,no,cellular,18,nov,109,1,-1,0,unknown,no
80,retired,married,secondary,no,668,no,no,telephone,8,jul,250,1,371,1,success,yes
32,admin.,married,tertiary,no,653,no,no,cellular,2,jun,84,1,-1,0,unknown,yes
48,housemaid,single,primary,no,46,no,no,cellular,3,aug,113,2,180,1,failure,yes
35,management,married,tertiary,no,2957,yes,yes,cellular,8,aug,733,3,-1,0,unknown,yes
48,management,married,tertiary,no,3842,no,no,cellular,1,jun,215,2,-1,0,unknown,yes
30,management,divorced,tertiary,no,106,yes,no,cellular,18,jul,149,1,-1,0,unknown,no
36,blue-collar,divorced,secondary,no,64,no,no,cellular,8,jun,143,2,-1,0,unknown,no
38,management,married,secondary,no,96,yes,no,cellular,20,nov,151,3,-1,0,unknown,no
33,blue-collar,married,secondary,no,686,yes,yes,telephone,14,may,30,6,343,12,other,no
39,management,married,tertiary,no,0,yes,yes,unknown,16,may,107,2,-1,0,unknown,no
50,services,married,secondary,no,683,yes,yes,unknown,26,may,129,3,-1,0,unknown,no
35,technician,single,secondary,no,399,yes,no,cellular,13,may,496,2,345,3,failure,yes
31,technician,single,tertiary,no,454,no,no,cellular,30,apr,266,1,-1,0,unknown,yes
26,student,single,secondary,no,715,yes,no,unknown,20,jun,31,10,-1,0,unknown,no
58,management,married,unknown,no,3658,no,no,cellular,4,may,55,2,-1,0,unknown,no
54,management,married,unknown,no,24,no,no,cellular,31,jul,12,10,-1,0,unknown,no
40,admin.,single,secondary,no,208,yes,yes,cellular,11,may,204,2,-1,0,unknown,no
37,blue-collar,single,secondary,no,134,yes,no,unknown,8,may,200,1,-1,0,unknown,no
39,technician,married,tertiary,no,14,no,no,cellular,28,jan,114,2,-1,0,unknown,no
36,technician,divorced,secondary,no,1941,no,yes,cellular,13,aug,156,4,-1,0,unknown,no
38,admin.,single,secondary,no,2345,yes,no,unknown,29,may,174,2,-1,0,unknown,no
48,admin.,married,secondary,no,476,no,no,unknown,5,jun,489,3,-1,0,unknown,no
38,unknown,single,tertiary,no,0,no,no,cellular,11,sep,260,3,95,3,success,yes
36,services,divorced,secondary,no,-330,yes,yes,unknown,27,may,207,2,-1,0,unknown,no
31,admin.,single,tertiary,no,1583,yes,no,unknown,21,may,207,1,-1,0,unknown,no
34,management,married,tertiary,no,2032,no,no,cellular,28,aug,103,12,-1,0,unknown,no
48,management,married,secondary,no,11146,no,no,unknown,6,jun,136,1,-1,0,unknown,no
36,blue-collar,married,secondary,no,1790,yes,no,cellular,16,apr,386,2,-1,0,unknown,no
30,management,single,tertiary,no,0,yes,no,cellular,5,may,381,1,342,7,failure,no
32,admin.,married,tertiary,no,653,no,no,cellular,2,jun,84,1,-1,0,unknown,yes
35,self-employed,single,tertiary,no,670,no,yes,cellular,13,may,44,1,-1,0,unknown,no
32,admin.,married,secondary,no,3,yes,yes,cellular,15,jul,612,4,-1,0,unknown,no
39,management,married,primary,no,1749,yes,no,unknown,29,may,46,1,-1,0,unknown,no
57,unemployed,married,unknown,no,288,no,no,cellular,9,feb,42,3,-1,0,unknown,no
34,admin.,single,secondary,no,1,yes,no,cellular,22,jul,483,7,-1,0,unknown,no
49,unemployed,married,primary,no,-384,yes,no,unknown,27,may,25,1,-1,0,unknown,no
39,blue-collar,married,secondary,no,483,yes,no,unknown,5,may,282,1,-1,0,unknown,no
54,management,married,tertiary,yes,153,no,no,unknown,9,jun,99,3,-1,0,unknown,no
30,blue-collar,married,primary,no,-518,yes,yes,unknown,28,may,244,6,-1,0,unknown,no
34,blue-collar,married,secondary,no,0,yes,yes,cellular,12,may,34,2,288,12,failure,no
45,admin.,married,secondary,no,434,no,yes,cellular,24,jul,180,19,-1,0,unknown,no
47,admin.,married,tertiary,no,1077,no,no,telephone,29,aug,43,2,-1,0,unknown,no
56,management,married,tertiary,no,6798,yes,no,cellular,17,nov,250,1,-1,0,unknown,no
25,management,single,tertiary,no,115,no,yes,unknown,4,jul,60,1,-1,0,unknown,no
56,services,married,secondary,no,1989,no,no,cellular,3,feb,336,2,281,2,failure,yes
35,admin.,single,secondary,no,321,no,no,cellular,21,jul,143,1,412,3,other,yes
34,management,single,tertiary,no,0,no,no,cellular,22,aug,174,1,-1,0,unknown,no
34,services,married,secondary,no,0,yes,no,cellular,17,jul,75,3,-1,0,unknown,no
28,management,single,tertiary,no,7544,yes,no,unknown,26,may,470,1,-1,0,unknown,no
31,technician,single,secondary,no,2544,no,no,cellular,12,jan,229,1,279,2,success,yes
54,technician,married,secondary,no,0,no,no,telephone,30,apr,766,3,84,3,success,yes
38,blue-collar,married,unknown,no,976,yes,no,unknown,29,may,318,2,-1,0,unknown,no
44,retired,married,secondary,no,902,no,no,unknown,26,may,206,1,-1,0,unknown,no
46,admin.,married,secondary,no,35,no,no,unknown,16,may,84,2,-1,0,unknown,no
45,services,married,secondary,no,1343,no,yes,cellular,8,jul,220,1,-1,0,unknown,no
33,technician,married,secondary,no,0,no,no,unknown,9,may,120,1,-1,0,unknown,no
35,management,married,tertiary,no,43,yes,no,cellular,20,apr,860,1,-1,0,unknown,yes
44,unemployed,married,primary,no,1,no,no,cellular,29,jan,229,1,-1,0,unknown,no
36,technician,single,tertiary,no,306,no,no,cellular,14,aug,111,2,-1,0,unknown,no
36,services,married,secondary,no,0,yes,no,cellular,30,jul,54,12,-1,0,unknown,no
66,retired,married,secondary,no,995,no,no,cellular,27,feb,131,2,-1,0,unknown,yes
43,technician,married,tertiary,no,1796,no,no,cellular,28,jan,352,2,-1,0,unknown,no
39,self-employed,married,secondary,no,1304,yes,yes,cellular,7,may,183,3,-1,0,unknown,no
35,technician,married,secondary,no,-288,yes,yes,cellular,30,apr,126,3,-1,0,unknown,no
31,management,single,tertiary,no,24870,yes,no,unknown,21,may,634,2,-1,0,unknown,no
31,technician,single,secondary,no,846,no,no,cellular,26,may,405,3,205,2,failure,yes
40,admin.,married,secondary,no,0,no,no,unknown,16,jun,368,12,-1,0,unknown,no
28,services,single,secondary,no,198,no,no,cellular,5,jul,128,2,-1,0,unknown,yes
36,management,married,tertiary,no,6138,yes,yes,cellular,21,nov,358,4,-1,0,unknown,no
35,technician,single,secondary,no,317,yes,no,unknown,9,may,292,2,-1,0,unknown,no
56,technician,married,secondary,no,62,no,yes,unknown,5,jun,243,1,-1,0,unknown,no
54,blue-collar,married,secondary,no,1777,yes,no,cellular,18,may,13,5,178,6,success,no
56,self-employed,married,secondary,no,549,no,yes,unknown,20,jun,181,2,-1,0,unknown,no
36,self-employed,married,tertiary,no,328,yes,yes,cellular,23,jul,136,1,-1,0,unknown,no
67,retired,married,primary,no,2391,no,no,cellular,28,jun,737,6,186,10,other,yes
42,management,married,tertiary,no,1993,no,no,unknown,29,may,41,1,-1,0,unknown,no
36,technician,divorced,tertiary,no,466,no,no,cellular,28,aug,171,1,-1,0,unknown,no
53,admin.,married,unknown,no,0,no,no,cellular,19,aug,160,3,-1,0,unknown,no
43,blue-collar,single,primary,no,999,yes,no,unknown,12,jun,317,1,-1,0,unknown,no
46,self-employed,married,unknown,no,-257,no,no,cellular,21,nov,104,1,189,2,failure,no
40,admin.,married,secondary,no,824,yes,no,cellular,17,apr,359,1,-1,0,unknown,no
37,management,married,tertiary,no,2205,no,no,unknown,21,may,85,4,-1,0,unknown,no
34,blue-collar,married,primary,no,176,no,no,cellular,24,jul,78,1,-1,0,unknown,no
41,services,divorced,secondary,no,787,yes,no,cellular,8,may,297,2,-1,0,unknown,no
35,management,single,tertiary,no,3000,yes,no,cellular,15,may,162,3,-1,0,unknown,no
33,technician,single,secondary,no,3499,yes,no,cellular,11,may,143,3,356,1,other,no
27,admin.,single,secondary,no,13,yes,no,telephone,8,jul,103,1,-1,0,unknown,no
30,self-employed,single,tertiary,no,166,no,no,cellular,30,jul,151,4,-1,0,unknown,no
56,housemaid,married,primary,no,605,no,no,cellular,19,aug,207,6,-1,0,unknown,no
33,management,single,tertiary,no,5437,no,no,cellular,4,may,267,1,91,1,failure,yes
41,management,divorced,unknown,no,465,yes,no,cellular,22,jul,1508,1,-1,0,unknown,yes
35,technician,single,secondary,no,-206,yes,no,unknown,19,may,85,4,-1,0,unknown,no
38,blue-collar,single,secondary,no,328,yes,no,cellular,11,may,776,4,349,1,other,no
38,unemployed,married,secondary,no,-673,yes,no,unknown,26,may,364,1,-1,0,unknown,no
35,self-employed,married,tertiary,no,980,no,no,cellular,2,aug,428,2,336,6,failure,no
36,technician,married,tertiary,no,521,no,no,cellular,20,oct,347,3,-1,0,unknown,yes
44,management,married,tertiary,no,0,no,no,cellular,28,jan,320,2,-1,0,unknown,no
40,unemployed,married,secondary,no,1872,no,no,cellular,21,nov,112,1,-1,0,unknown,no
66,retired,married,secondary,no,995,no,no,cellular,27,feb,131,2,-1,0,unknown,yes
40,unemployed,single,tertiary,no,72,no,no,cellular,30,apr,463,1,-1,0,unknown,yes
40,technician,married,secondary,yes,34,yes,no,unknown,2,jun,68,1,-1,0,unknown,no
40,technician,married,secondary,no,84,yes,no,cellular,8,aug,119,3,-1,0,unknown,no
56,management,single,primary,no,109,no,yes,telephone,17,nov,124,1,129,18,other,no
57,retired,married,primary,no,808,no,no,telephone,7,jul,274,1,-1,0,unknown,no
42,management,divorced,secondary,yes,923,yes,no,unknown,19,jun,129,2,-1,0,unknown,no
36,blue-collar,married,unknown,no,6,no,no,unknown,20,jun,41,7,-1,0,unknown,no
57,technician,divorced,tertiary,no,126,no,no,telephone,4,jun,166,2,-1,0,unknown,yes
36,admin.,divorced,secondary,no,543,yes,no,cellular,11,may,66,3,-1,0,unknown,no
30,admin.,single,tertiary,no,726,no,no,cellular,29,jan,103,1,-1,0,unknown,no
39,self-employed,single,tertiary,no,2298,yes,yes,cellular,20,apr,13,2,319,18,other,no
31,self-employed,single,tertiary,yes,-282,yes,no,cellular,20,nov,131,3,-1,0,unknown,no
52,management,married,secondary,no,3258,no,no,unknown,5,jun,234,3,-1,0,unknown,no
28,management,single,tertiary,no,9314,no,no,cellular,2,jul,276,2,-1,0,unknown,yes
32,management,single,tertiary,no,2233,no,no,cellular,29,aug,85,15,-1,0,unknown,no
56,services,married,secondary,no,1989,no,no,cellular,3,feb,336,2,281,2,failure,yes
34,management,single,tertiary,no,-322,no,no,unknown,9,may,198,1,-1,0,unknown,no
43,unemployed,married,primary,no,960,yes,yes,unknown,15,may,241,2,-1,0,unknown,no
58,retired,married,secondary,no,-324,yes,no,cellular,7,may,229,2,-1,0,unknown,no
59,retired,single,secondary,no,2432,no,no,unknown,11,jun,236,2,-1,0,unknown,no
38,services,married,secondary,no,0,yes,no,telephone,28,jul,121,2,-1,0,unknown,no
59,admin.,married,primary,no,2532,yes,no,unknown,30,may,110,6,-1,0,unknown,no
39,blue-collar,married,secondary,no,72,yes,no,unknown,7,may,425,6,-1,0,unknown,no
54,blue-collar,married,primary,no,2584,no,no,cellular,20,aug,387,7,-1,0,unknown,no
56,blue-collar,married,primary,no,6677,yes,no,telephone,20,apr,197,4,-1,0,unknown,no
34,technician,married,secondary,no,149,yes,no,unknown,29,may,153,2,-1,0,unknown,no
44,self-employed,married,secondary,no,313,no,no,cellular,6,aug,211,4,-1,0,unknown,no
82,retired,married,secondary,no,121,no,no,telephone,19,feb,330,1,-1,0,unknown,yes
38,entrepreneur,married,secondary,no,351,yes,no,cellular,4,feb,112,1,244,3,failure,no
27,services,married,secondary,no,0,yes,no,cellular,22,jul,1608,13,-1,0,unknown,yes
32,self-employed,single,secondary,no,4,yes,no,unknown,23,may,233,2,-1,0,unknown,no
30,technician,divorced,secondary,no,0,no,no,cellular,21,jul,101,1,-1,0,unknown,no
41,blue-collar,married,secondary,no,1384,yes,no,cellular,20,apr,106,4,340,4,success,no
48,blue-collar,married,secondary,no,-202,yes,yes,cellular,30,jul,225,4,-1,0,unknown,no
49,technician,married,secondary,no,305,no,no,cellular,7,aug,140,1,99,1,failure,no
51,management,married,tertiary,no,1944,yes,no,unknown,27,may,217,2,-1,0,unknown,no
57,management,married,secondary,no,82,no,yes,telephone,4,feb,140,1,-1,0,unknown,no
42,blue-collar,married,primary,no,2273,yes,no,cellular,29,jul,98,2,-1,0,unknown,no
36,entrepreneur,divorced,tertiary,no,219,no,no,cellular,26,aug,358,4,-1,0,unknown,no
32,unemployed,single,primary,no,1429,no,no,cellular,8,mar,150,4,-1,0,unknown,no
46,housemaid,married,primary,no,3512,no,no,cellular,30,oct,175,1,197,1,failure,yes
37,technician,married,tertiary,no,472,yes,no,unknown,29,may,294,3,-1,0,unknown,no
38,technician,married,secondary,no,79,yes,no,cellular,20,aug,209,2,-1,0,unknown,no
33,technician,single,secondary,no,161,no,no,cellular,25,aug,66,9,-1,0,unknown,no
26,admin.,single,secondary,no,140,yes,no,cellular,15,may,103,5,-1,0,unknown,no
32,housemaid,married,primary,no,0,yes,no,cellular,9,jul,90,1,-1,0,unknown,no
48,management,married,tertiary,no,0,no,no,cellular,27,aug,203,7,-1,0,unknown,no
48,management,married,tertiary,no,3842,no,no,cellular,1,jun,215,2,-1,0,unknown,yes
45,management,married,tertiary,no,0,no,no,cellular,21,aug,144,2,-1,0,unknown,no
34,self-employed,single,tertiary,no,462,no,no,cellular,21,aug,1877,3,-1,0,unknown,yes
33,management,married,tertiary,no,273,yes,no,unknown,16,may,803,1,-1,0,unknown,yes
44,entrepreneur,married,secondary,yes,-848,yes,no,unknown,19,may,468,1,-1,0,unknown,no
55,retired,married,secondary,no,168,no,no,cellular,19,aug,79,2,-1,0,unknown,no
33,management,married,tertiary,no,273,yes,no,unknown,16,may,803,1,-1,0,unknown,yes
35,entrepreneur,single,secondary,no,475,no,yes,cellular,21,jul,936,4,-1,0,unknown,no
37,admin.,married,secondary,no,0,yes,no,cellular,9,dec,179,1,190,1,success,yes
55,management,married,tertiary,no,6770,no,no,cellular,27,apr,167,1,-1,0,unknown,no
38,management,divorced,tertiary,no,554,no,no,cellular,21,nov,45,1,101,4,failure,no
50,management,married,tertiary,no,938,no,no,cellular,6,aug,148,2,98,1,success,no
25,technician,single,secondary,no,1312,yes,no,cellular,16,apr,307,1,-1,0,unknown,no
50,management,married,unknown,no,5043,yes,yes,cellular,8,apr,201,1,-1,0,unknown,no
28,services,single,secondary,no,198,no,no,cellular,5,jul,128,2,-1,0,unknown,yes
42,blue-collar,married,secondary,no,3052,yes,no,unknown,27,may,32,1,-1,0,unknown,no
44,services,married,secondary,no,-75,yes,no,unknown,26,may,104,1,-1,0,unknown,no
57,admin.,married,secondary,no,3944,no,no,cellular,21,nov,36,2,-1,0,unknown,no
41,blue-collar,divorced,primary,yes,210,yes,no,unknown,13,may,383,1,-1,0,unknown,no
33,blue-collar,single,secondary,no,109,yes,yes,cellular,10,jul,184,3,-1,0,unknown,no
47,blue-collar,married,primary,no,0,no,no,cellular,22,aug,98,3,-1,0,unknown,no
54,technician,divorced,secondary,no,7449,yes,no,unknown,19,may,235,7,-1,0,unknown,no
53,technician,single,primary,no,481,no,no,cellular,18,nov,399,1,-1,0,unknown,no
56,admin.,single,secondary,no,4118,no,no,telephone,27,may,165,1,-1,0,unknown,yes
57,housemaid,married,primary,no,625,no,yes,unknown,11,jun,867,1,-1,0,unknown,yes
31,management,single,tertiary,no,0,yes,no,cellular,8,sep,76,1,-1,0,unknown,no
34,self-employed,single,tertiary,no,462,no,no,cellular,21,aug,1877,3,-1,0,unknown,yes
57,housemaid,married,primary,no,151,yes,no,cellular,18,may,14,4,-1,0,unknown,no
36,technician,married,secondary,no,432,yes,no,cellular,29,aug,65,2,-1,0,unknown,no
42,housemaid,married,primary,no,14752,no,no,unknown,19,may,107,2,-1,0,unknown,no
36,entrepreneur,married,secondary,no,660,yes,yes,cellular,17,apr,430,1,-1,0,unknown,no
33,services,married,secondary,no,5499,yes,no,unknown,20,may,231,1,-1,0,unknown,no
48,blue-collar,married,unknown,no,100,yes,no,unknown,29,may,206,1,-1,0,unknown,no
26,technician,single,secondary,no,507,no,no,cellular,30,apr,380,1,-1,0,unknown,yes
60,retired,married,primary,no,1720,no,no,telephone,6,aug,115,5,-1,0,unknown,no
58,technician,divorced,secondary,no,469,no,no,unknown,6,may,196,1,-1,0,unknown,no
42,blue-collar,married,secondary,no,3743,yes,no,unknown,14,may,136,1,-1,0,unknown,no
59,blue-collar,married,primary,no,2192,no,no,cellular,12,aug,365,2,-1,0,unknown,no
48,technician,married,secondary,no,480,no,yes,cellular,23,jul,371,1,-1,0,unknown,no
37,technician,divorced,secondary,no,566,yes,no,cellular,6,aug,168,2,-1,0,unknown,no
32,services,single,secondary,no,1659,yes,no,unknown,30,may,120,6,-1,0,unknown,no
38,services,married,secondary,no,433,no,no,unknown,11,jun,148,1,-1,0,unknown,no
48,housemaid,married,primary,no,7195,no,no,cellular,21,nov,609,2,-1,0,unknown,yes
34,blue-collar,married,secondary,no,320,yes,no,cellular,12,aug,352,1,828,2,failure,yes
56,entrepreneur,divorced,tertiary,no,22946,no,no,unknown,17,jun,75,3,-1,0,unknown,no
33,management,divorced,tertiary,no,525,yes,yes,cellular,17,apr,260,1,281,1,other,no
27,management,single,primary,yes,13,no,no,cellular,30,jan,475,3,-1,0,unknown,yes
34,admin.,married,secondary,no,1365,yes,no,unknown,29,may,293,2,-1,0,unknown,no
26,student,single,unknown,no,2020,no,no,telephone,28,jan,42,3,-1,0,unknown,no
61,management,married,unknown,no,264,no,no,telephone,29,jul,270,1,178,1,success,yes
33,admin.,divorced,secondary,no,-331,yes,yes,cellular,11,may,186,2,350,3,failure,no
47,technician,divorced,tertiary,no,-1148,yes,yes,unknown,27,may,62,2,-1,0,unknown,no
61,management,married,unknown,no,264,no,no,telephone,29,jul,270,1,178,1,success,yes
29,blue-collar,married,primary,no,0,yes,no,telephone,7,jul,256,15,-1,0,unknown,no
41,management,divorced,tertiary,no,934,no,no,cellular,4,aug,93,1,-1,0,unknown,no
33,technician,single,secondary,no,18,no,no,cellular,22,aug,93,2,-1,0,unknown,no
34,services,married,secondary,no,27,yes,yes,cellular,31,jul,249,3,-1,0,unknown,no
18,student,single,secondary,no,5,no,no,cellular,24,aug,143,2,-1,0,unknown,no
44,blue-collar,married,secondary,no,23,yes,no,unknown,12,may,388,2,-1,0,unknown,no
32,technician,single,tertiary,no,388,yes,no,cellular,22,aug,119,2,-1,0,unknown,no
50,management,married,tertiary,no,383,no,yes,cellular,11,jul,502,2,-1,0,unknown,no
55,technician,married,unknown,no,1192,yes,no,unknown,13,may,481,1,-1,0,unknown,no
